Title,Grade,Tag,Content,Images,ID
Prayer,K,Rhyme,"Prayer is talking to God
It's a way to honor and nod.
We can pray anytime, anywhere,
In the morning, in the night, 
Or while we're sitting in a chair.

Prayer is a way to share our hearts,
To ask for help, or give thanks for our parts.
It's a way to feel close to God above,
And to show him that we trust and love.

So let's all take a moment to pray,
And in this special way, we can start our day.",Prayer.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/CbbcDtJZ9IDq0TYY-NjNDw/OafrKnONSkDnR_R20WC2U4R-V-tfvK8aU0usCoIZcp8LWKS6T8a0IDyRg5BYgOr5BDqnfPldbXViScRRW0wqiCI6e1kpTxl5-rpWbwCV7qw/1hMebgS7IVdBRs5NICbV4AJg0LbxRUR86W9KcUTVv5I),54
Dear Mother,K,Rhyme,"Mother, oh mother,
You're always there for me.
With love and affection
Unconditionally.

You comfort me when I'm sad,
You lift me when I'm low.
You always know just what to do,
To help me with the flow.

I love you, dear mother,
More than words can say.
You mean the world to me,
In every single way.",Dear Mother.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/_uSKXgfcyYvNuYQ6egfHsQ/hjG0n4yzBA5p2YWI51mxvg4QaE-LwsBai5Jx2OSRxvavtVtlqz263HIFFitmddNvnX-XR1dkL2SPagRAkhrNT6wb-55acdxpY_JgQZEi5IU/YowJ4DhqdSPG_8gDW4yKzR8H9Hw0_XbdsVzK_bcqGnU),55
Six Seasons,K,Short Story ,"Once upon a time, there were six seasons in the land: Spring, Summer, Fall, Winter, Rainy and Monsoon. Each season brought its own special gifts and surprises.
In the Spring, the flowers began to bloom and the trees grew new leaves. The days were warm and the sun shone brightly. Children loved to play outside and fly kites in the gentle breeze.
Summer was the time for ice cream and swimming in the cool lakes. Everyone would head to the beach and play in the sand and surf. The days were long and the nights were short, making it the perfect season for barbeques and bonfires.
Fall was the time for pumpkin picking and apple cider. The leaves on the trees changed colors and the air was cool and crisp. Children loved to jump in the piles of leaves and go on nature walks to see all the different colors.
Winter was the time for snowmen and hot cocoa. The ground was covered in white powder and the trees were bare. Children loved to go sledding and make snow angels. They also loved to stay warm inside by the fire, reading stories and making crafts.
Rainy season was the time for rain boots and umbrellas. The raindrops pattered against the windows and the streets turned into rivers. Children loved to splash in the puddles and play in the mud.
Monsoon season was the time for heavy rain, children loved to play in the rain and make paper boats. They also loved to watch the lightning and hear the thunder.
No matter what season it was, there was always something fun and exciting to do. The children grew to love and appreciate each season for its own unique wonders.",Six Seasons.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/UIaReQi_JEPgdK2yTTt2qA/g0REXsah2BuqoMcN4SDlV7VYqKPIh3zsY_b8g5G_rkd9k49aN4mB4IZIBg3xT7UDsWCLHEjPfLUIJHYhCbHP8NAc_VF99hUdgQA5Gyxaxdw/4c2v_wYbDXSoRPUbYJmoTER7vahp7_mBhrpCXItTeX4),56
The Result of Greed,K,Short Story,"Once upon a time, in a small seaside village, lived a young fisherman named Nathan. Nathan was a dedicated worker who spent every day on his boat catching fish to sell at the market. He was an expert at his job and always came home with a good catch.
Nathan's boat was caught in a terrible storm one day, and he was tossed around on the rough seas. He noticed a flash of gold in the water as he struggled to keep the boat afloat. It was a big, gleaming coin. Nathan reached out and grabbed it, overjoyed with delight at his good fortune.
The boat capsized as soon as Nathan had the coin in his hand, and he was thrown into the water. He tried desperately to swim to shore, but the strong currents drew him under.
He was exhausted and barely conscious when he arrived at shore. As he lay there, catching his breath, he realized he had lost his boat and all of his fishing gear in his haste to get the coin.
He had grasped for the gold, but he had lost everything in the end.
From that day forward, Nathan learned to be grateful for what he had and to resist the temptation of greed. He had lost everything in the storm, but he was thankful just to be alive. And, with time and effort, he was able to rebuild his life and re-establish himself as a successful fisherman.",The Result of Greed.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/VVeKxn7Lkn59bdjDxFvurQ/mNdK6vw-VOJ2Bwjjx32UYbV0A17iHAN2cn4RuoyBjkJC2nLpRZ6w1GECWR28z9MdjnlAmnbJvWz8kiLeheROj0j4KQqXTVhnVEcDzYcoHbw/-9T78ot-vwCh7qrvcz7o6Gf16sHul-IgpONtbCMkyIY),57
A Fly,K,Rhyme,"A little fly so light and airy,
Flits and flutters here and there-y,
With tiny wings that never tire,
It lifts off from the ground like a spire.

It dances through the summer sky,
So graceful, fast, and up so high,
It buzzes near and far away,
In its journey it makes every day!",A Fly.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/DtFth0oNKdGehm_vPGbxmA/O4iVoO7zahBP3eSJcyzIpuEELEoXlF-cD4ZSFEEtTV6VijWxomrebeee9aJsHnsDxJeTSSs2jmY-u9aX8kTn1Q/8Y2vGWEJrQJTZ-0nFTUkEu-NSTVQEINmyYCK9Gn2gEg),58
The Way Jack Learned the Punctuation Marks,K,Short Story,"Once upon a time, in a peaceful kingdom, a young prince named Jack lived. Jack was a curious and daring young man who was always eager to learn and explore.
Jack's tutor, a wise old owl, decided to teach him about punctuation one day. ""Punctuation marks are like traffic signals for language,"" explained the owl. ""They help us understand sentence structure and meaning.""
The owl then took out a piece of parchment and began writing. ""Let's begin with the period,"" said the owl, drawing a small dot at the end of a sentence. ""This mark denotes the conclusion of a statement or idea.""
The owl then showed Jack the question mark. ""This mark is used to convert a statement into a question,"" the owl explained as he wrote ""Do you understand?"" on the parchment.
""How about the exclamation mark?"" Jack inquired eagerly. ""That's used to express strong emotion or emphasis,"" the owl explained, scribbling ""I can't believe it!"" on the parchment.
As the lesson progressed, the owl introduced Jack to additional punctuation marks, including the comma, semicolon, and quotation marks. Jack listened intently, determined to perfect his punctuation.
Jack became a skilled writer as a result of the wise old owl, using punctuation marks to express himself clearly and accurately. The kingdom rejoiced, knowing that with Jack's newfound knowledge, they would never be confused by a poorly punctuated sentence again!",The Way Jack Learned the Punctuation Marks.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/hAvs2mfSk21ruUyfg81zzQ/FspzGxkWsQFOesFPVQRJRtzu-SAkrYko9hIcc51WIXCOnMI9w1BqU6thFNBzIQO-IhTkU4CKNv6Ox8bAjWQUeN1FedFHLMgqDHs3HxuuhH11RUdesef0x0GdhlLRupKl/zlPlK5sagu22MvLgp0hJEiqMO6jRjR2YiXbML0OR1DA),59
Homonyms,K,Rhyme,"Homonyms, they're quite the pair,
Same spelling, different meaning, so beware.
A flower and a shower, don't get them mixed,
Or your sentences will be easily fixated.

Bear and bare, peace and piece,
It's easy to confuse them, but don't decrease.
Your language skills, just take your time,
And homonyms, you'll soon make them rhyme.",Homonyms.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/tigkbDlTqL_6WmstwZ8B1A/dN_3HR0vfLVLEHvxA7DoVqE-aEv0gAVI4bpNOEZjMEV1DtCMzpWKT8wAhl8LGby8oHDrLt31ME5Fcyehpgij3Js_mW1Z5QQvGQ2P5FJacOw/eUM9ysURw_oajsBpxdRWSD8LOflDHCkHZgU7FLgxJk4),60
Antonyms,K,Rhyme,"I'm big, you're small
I stand, you crawl
I laugh, you weep
I win, you lose
I'm fast, you're slow
I'm high, you're low
I'm hot, you're cold
I'm old, you're young
I'm here, you're gone",Antonyms.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/nLcVGb4LKr3fnpj66RBTVg/Sq7h4qNpxueqq01IF9IJRXD9JD0BH5SvF6MAbalikeLkwSwIGHNz_eO9Uxk59esv64vfWMtBL7fra_epVzDTSN8y9kCdPZXCXeEl8LHjpFc/A47o6fVO7DrZFbp2qglsYU2ajaTw7fP4xgfRGmaZLEc),61
Who Is the King of the Jungle?,K,Short Story,"Once upon a time, in a dense jungle, there was a powerful lion named Leo. Leo was known as the king of the jungle because he was the strongest and bravest animal of all. All the other animals looked up to him and respected him as their leader.
One day, a new animal arrived in the jungle. It was a huge gorilla named George. George was very strong and had a fierce look on his face. The other animals were frightened of him and thought he might try to take over as the king of the jungle.
Leo, the lion, was not afraid. He knew he was the true king of the jungle and would not let anyone take his throne. He confronted George and challenged him to a fight to determine who would be the true king.
George accepted the challenge and the two animals clashed in a fierce battle. They roared and growled, and pushed each other with all their might. The other animals watched in awe, not knowing who would come out victorious.
In the end, Leo emerged as the winner. He had proven that he was the true king of the jungle, and George, the gorilla, knew it too. George was impressed by Leo's strength and bravery, and knew that Leo was the best leader for the jungle.
From that day on, George and Leo became friends, and the jungle was a peaceful place. The animals lived in harmony, and Leo continued to be the king of the jungle, loved and respected by all.",Who Is the King of the Jungle.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Rr9nJ9-4letDMOZfUIJAUg/2qYtW5-G5xfHZvY0yrrLuM2o2ASkBJ557ddJHT8hckWuULmoWBRqdIAQMud-E3Zyj10rmhXq58xhjynDr1e4ujM56J88lcIsyWcWqIIArL_PoJztZZuTeLIvJbQ0_A6x/cQ7FUcrMKVWTy778r91vi-kARUaDCeQC1oM1Q19qBk4),62
Lucy and Her Kidness,K,Short Story ,"Once upon a time, there was a young girl named Lucy who lived in a small seaside village. Lucy was known for being a kind and caring individual who was always concerned about the well-being of others.
Lucy was playing by the beach one day when she noticed a small bird caught in a fisherman's net. Lucy knew she had to help the bird because it was struggling to fly.
She carefully untangled the bird from the net and held it in her hands with care. The bird chirped happily as it looked up at Lucy with big, grateful eyes.
Lucy walked home with the bird, happy and proud of herself, stopping along the way to pick some berries and seeds to feed it.
Lucy's mother was delighted to see the little bird and thanked Lucy for saving it when she returned home. The bird became a beloved member of the family and stayed close to Lucy, grateful for her kind heart, from then on.
Lucy discovered that a small act of kindness can go a long way and make a significant difference in the world. And she promised herself that she would always be kind and help those in need.",Lucy and Her Kindness.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/qgD06i7ABt1Xo2NJ_CMjgw/t4LvV5gq2whNdvIkfKEbqD6ZQujgWcJZTmY8CBXvaQIEE4nUTUcYHm0hVXxipdd6NPQAsX_7mxcPy8stllgrsUcRytG8tBaMA4Aso0VD6X0/dRDo5jouYQzMphkOu4zbRGuXBnZvcbwwlUyovWqbjEE),63
Rhyme for Toddlers,K,Rhyme ,"In the garden, green and bright
Grow the flowers, tall and light.
Roses red and daisies white
Dancing in the morning light.

Butterflies flutter by
Bees buzz and dragonflies.
In the sun, they all take flight
In the garden, all is right.

Let's go pick a dandelion
Blow the seeds and make a wish.
In the garden, we'll have fun
With every flower, we'll dish.

So come and play with me
In the garden, so pretty.
Where the flowers, always happy
and the bees, always busy.",Rhyme for Toddlers.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/WhrWxODTTqT6su1cnvgTJw/xC5E6vVGrUbg08HVEipAgrHvI-zVtWY5iULW4OAdAl7WFjhvPZ1dJZbBdXtXDoafzpcgw9ThTV7euOf1qzAgwmZfUgWCjVZvSnCCQEDNaKk/SXL9H816tVjysPKsyhn3PYZZfyXcLj9AHSDjMjdufbc),64
Cleanliness,K,Rhyme ,"Clean hands, clean face, 
Clean all over.
Brush your teeth, comb your hair, 
It's time to discover.

Wash your hands before you eat,
And keep your room neat.
Cleanliness is a must, my dear,
Germs will disappear.

A tidy space makes you feel so grand
Cleanliness is a habit, let's take it by the hand.",Cleanliness.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/MQnfDEQqlL8GS8Z9EcAaew/BiESkjm975amMvkW9J8_5B4aTDdpXNIhkBXuLYT0MLm-kIyu7JUOoMkVCg-lUUUei4AUs2Ke3MfXGUxh_uKVc9jM7XT_Dc7g9xpAmRrTXVY/IyJISQQSY6ijVI0ebYWtHj1B6WcQP3gveW7GLwAyD1o),65
10 Advices for a Toddler,K,Advices,"- Always wash your hands before eating.
- Brush your teeth twice a day.
- Cover your mouth and nose when you sneeze.
- Don't put your fingers or objects in your mouth, nose or ears.
- Wear clean clothes every day.
- Eat a healthy and balanced diet.
- Get plenty of sleep.
- Always listen to your parents and follow their rules.
- Don't touch sharp objects or play with dangerous items.
- Drink plenty of water.",10 Advices for a Toddler.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/fJOsg1EZ_C4Uq3xyBR_F9Q/E6U9Afew0guzZBcJiJMrcfqMwLvnSY7m5uGDvPjg9A9asRMgqnX7gsZlH6Rr-fXa3HfVT-KjRHaYFYbUKKCeHZOaa7_Lr5A-rgKHg9nSd1s/go0MqO7pbNc6nI3w2R0qWPaH3_CJdwsfBwkD3TGD-Po),66
The Importance of Eating Healthy,K,Short Story,"Sarah was a young girl who enjoyed nothing more than eating junk food. She would eat chips, candy, and fast food every day with no regard for the consequences.

Sarah's parents sat her down one day and explained the importance of eating healthy to her. They warned her that while junk food may taste good, it is high in empty calories and can lead to serious health problems such as obesity, heart disease, and diabetes.

Sarah was taken aback by the news and realized she needed to make a change. She started eating more fruits, vegetables, and lean proteins and noticed that she felt more energetic and alert.

Sarah noticed even more positive changes as she continued to eat healthy. She was able to focus better in class, had clearer skin, and even lost weight. She was relieved that she had listened to her parents and chosen to eat healthier.

Sarah made it a goal to always make healthy food choices after that. She discovered that caring for her body was essential not only for her physical health, but also for her overall well-being and happiness.",The Importance of Eating Healthy.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Xrrps4r8125vFtvqZeLOZQ/xQo_kmW-vlNxGsS6r_gHzkZoTXJQlM-xGOQ8laFW-pGSmVFJr49HNWYCf1F-ioG1avzF1NPz0q2NYKBn4d-EgYGalaQVBY6vkROq0_W6fVpOS1qpcmFsnpGXI-fDmjL1/eiKZVgguSc9m1LecnBlJlR5Ejqe6xXJfS7fXeJrx5vE),67
Cockroach ,K,Rhyme ,"Cockroaches, bugs so brown
Sneaking around, never making a sound.
They like to hide, in dark and damp
But with cleanliness, we can stamp them out.

Don't leave food out, or crumbs on the floor
Or these bugs will come back for more.
Keep your home clean, and they'll be gone
Then you'll sleep tight, all night long.",Cockroach .png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/P8IhxcfjfspywUM09XBWlw/eWmobJzZAxBBjSqOAJFk73pT26EnMT--OFr0L_hYdhNJrJpl795i1usJvzwKhIDZK-5wsDfqeCeLtqtgVg_jynBTxCKIW9NB2bLTFtMdU0E/HzVJM-o6avFhv1mWVI4nrXqDgGy76kldYxwXkDAmV7w),68
Alice's Vaccination Worry,K,Short Story,"Once upon a time, there was a little girl named Alice who was very concerned about getting her vaccination. She was scared because she had heard that it might hurt a little. Her mother assured her that the vaccination would keep her healthy and prevent her from becoming ill. But Alice was still terrified.

Alice's mother took her to the doctor's office one day to get her vaccination. The doctor was very nice and explained everything to Alice in detail. She showed Alice the tiny needle they were going to use and told her it would sting a little but would be over quickly.

Alice took a deep breath and allowed the doctor to administer the vaccination. It did sting a little, but it was over in a matter of seconds. As a reward for her bravery, the doctor gave Alice a sticker and two lollipops.

Alice was grateful to herself for not being afraid and for taking care of her health. She discovered that getting vaccinated was important and not to be concerned about.",Alice's Vaccination Worry.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/DeoFD28-hR2gNaT9iktkNg/e9AQtBLT-2ExjSq62kv20qOcbLnynRIiZU7RecsIImlhdD2yBoh_DYUMfiL_kYntY31DYWTm9xRT6n2QxgkEhvub3w0iABH5SW2RNDVBxxBIH9sZ9_5KJcjtpDmYhmtY/ExJiHtUgjO-iHlK8njxyuF5d4BVEKpMvNwGesKF9fGM),69
The Joy of Being a Toddler,K,Rhyme ,"Being a toddler, is such fun
Every day, is a new adventure begun.
Learning to walk, and talk and play
Making new friends along the way.

Fingers to explore, toes to wiggle
The world is big, and full of giggle
With a laugh and a smile, we'll take on the day
Being a toddler, is here to stay.

We'll splash in puddles, and climb up high
Discover the world, as we reach for the sky
With curiosity and wonder, we'll learn and grow
Being a toddler is a wonderful show.",The Joy of Being a Toddler.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/HBhdDMgtAfgeWtw34sKCfQ/rotqwEsxUM1HfLrAyZD-fu8SmqyAvxcxkYOKdrxcz7htnYc4w-fu2MZB1Ayk8JyS0Xh5Iu286glZnQLyXJO2z6n2rgu5_b-Kk1nnOwSjBPN0ecHZ8_EWb-b2IzQCgAmb/UnZDJAfy9r6zGbRlzZA4IhcABOEu2lO6_IPc7wfxtgo),70
Home,K,Rhyme ,"Home is where we lay our head
Where love and warmth are always spread.
A place to play and laugh and sing
With family and friends, a joyous ring.
A cozy bed to rest and dream
A kitchen where delicious meals are seen.
A backyard where sunshine and flowers bloom
A home is where our hearts find room.
A place to learn and grow and be
With loved ones near, it's plain to see.
Home sweet home, a place to call
Our very own, where memories are enthrall.",Home.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/XVIXyGdigxbJy4LRaQs-iA/Mm5am22fRj8oLKWM8Y3_z-TrJ-bZ-nVyOieG_aOIk72RIbcIeBd9jOhaLy3Ss-KlEw8-rGDgfaoPw5ip354tSg/qOzY_uKU5gIUj9bj90-D4LYOywKaR3J3BjQjHaP5dzc),71
The Frog and the Princess ,K,Short Story,"Once upon a time, there was a princess who lived in a lovely castle by a lake. She saw a small frog sitting on a lily pad one day while playing by the lake.
The princess felt sorry for the frog and took him in her arms. The frog said to her as she held him in her hand, ""Please assist me, sweet princess. I used to be a prince, but an evil witch transformed me into a frog. Please, I beg you, assist me in transforming back into a prince.""
The princess was surprised, but she felt bad for the frog and agreed to assist him. She brought the frog home and placed him in a comfortable bed in her room.
Every day, the princess spoke to and read to the frog. She was kind and compassionate to him. And, to her surprise, the frog transformed into a handsome prince one day.
The prince thanked the princess for her kindness and proposed marriage to her. The princess was overjoyed and said yes. They married at the palace in a grand ceremony and lived happily ever after.",The Frog and the Princess .png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/sS0cY--K881R2Z9iuORTrw/w2dPzEw6fhWV0SDQoP0weBBWVY4-cJEAKxCjjL9aM2heL_Ka9JDJkp4dT3lAs_0nep7WuhnGZzeSnmskx0VQo5Fzcjf5M-dU53Tw6b5kRhsO96vYtx-nY7QhI4gkkY6p/FFf9HBb7BSgy1lWYQ8ekrOCp04WXoHez9LVTOCS-hXA),72
Don't Be Lazy,K,Rhyme ,"Lazy, lazy, what's the use?
All you do is sit and snooze.
But if you want to go ahead,
It's time to get out of bed.

No more lounging on the couch,
It's time to get up and vouch.
To make the most of every day,
And work and play and work some more, they say!

So let's get up, let's get moving,
There's no time for idle proving.
There's so much to do and see,
So let's be active as can be! ",Don't Be Lazy.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/WwwmOznekr88j-ZzkeACrw/0LbOqnj88jLt1wh9kuZggVHIXHDOBiwliuBDuVaDfmQBMFQneg32zy8SIo_YMV5s-M0pTvrHZXe3P6l60gi0Waedmd-eWcl0qE4noqEIfas/j-0PYv3VJ_i-AtX5iAladxIW8dxL1cbBzsfEf2799Ko),73
Goldilocks and Three Bears,K,Short Story,"Once upon a time, in the woods, there was a little girl named Goldilocks. She came across a house that wasn't hers while out walking one day. 
When she went inside, she noticed three bowls of porridge on the table. The porridge in the first bowl was too hot for Goldilocks. The porridge in the second bowl was too cold for her. She tested the porridge from the third bowl, and it was delicious! 
Goldilocks was exhausted from her walk and went upstairs, where she discovered three beds. She tried the first bed, but it was too rough for her. The second bed she tried was too soft. She tried the third bed, and it was ideal! Goldilocks dozed off in the third bed. 
Later, when the three bears who lived in the house returned home, they discovered that someone had eaten their porridge and slept in their beds. They followed the bits of food and discovered Goldilocks sleeping in the third bed. The bears were not angry, but they did request that Goldilocks leave and never return. 
Goldilocks apologized for her actions and promised never to enter someone else's home again.",Goldilocks and Three Bears.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/LC8QP0JptKSKsjzLGAAoSQ/2OWR0ZaHZ0Bl5YvcFrIQf3YSKQW1_d-MrPLIelGSBHGeTmSr0XKGYkHo8hn7we-eaP4XCbxO1fkkM2RdwufzFKwJZyXLmS6xHLwXPVNAfQa_yLKBmHaq05xdZHscDcQx/QbPMU6OG6FVk8DP826rCIuawDLWmGBqBqXdPk3xiRhc),74
Rainbow,K,Rhyme ,"A rainbow in the sky
Is such a pretty sight
Its colors shine so bright
On a sunny day, it's a delight.

Red, orange, yello, green and blue
Purple, too, it's a colorful crew
Acing through the air
It's a beauty beyond compare.

A symbol of hope and cheer
A rainbow's always clear
So when you see one up above
Take a moment, show it some love!
",Rainbow.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/JVio_abflWmdlm7DnRvBYA/LCQYG4kZ7Arq3hEJq0HdjhurcgYwGPq6AwoL0r3Bu8JAn0IERwc7M0xOHO9md59SPlmzDbcEnJuXyqIRVkv_IcJg87cPY6eqyEn6Dx60KRk/-kSGsvaiaP2O45_ECFdr3s5Fd7HQa5RYVim_DA15Pms),75
Never Tell a Lie,K,Short Story ,"A little girl named Lily was playing with her dolls in her bedroom one day. She was pretending to have a tea party with her dolls while holding a toy tea set. Lily's mother entered the room and inquired as to what she was doing.
Lily quickly considered what to say. She wanted to impress her mother and make her proud, so she considered telling a small lie. She considered telling her dolls that she was having a fancy tea party and that they were all dressed up in pretty dresses.
But then Lily remembered something her mother had previously told her. She stated that telling the truth was always important, even when it was difficult. Lily knew that lying was wrong, and she didn't want to let her mother down.
Instead of lying to her mother, Lily told her the truth. She stated, ""I'm simply hosting a tea party for my dolls. We're not dressed up in any way.""
Her mother said with a smile, ""Lily, you are so sweet. I appreciate how honest you are with me. Remember, even if it's not as exciting as a fancy tea party with dressed-up dolls, it's always better to tell the truth.""
Lily nodded and hugged her mother. She was glad she had chosen to tell the truth, and she knew she would always do her best to be truthful with her mother and others.",Never Tell a Lie.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/zBtKwy4iKx3ZuP7leNpjTg/iUsU-nKNh8buh_CdojcLRlTj1ZzjO3FvhB0d23OW-_5yDpj_0R-ZIxsl2xY_S6ej18rqyrcN1FtFuc7ntBx9b3kotxsXzowmVW7335yjBWs/C3pfV1NqA-yA6fW4P1IcJbArL3dgMZ_gFeGilwbv3EQ),76
"Girls and Boys, Come Out to Play",K,Rhyme ,"Girls and boys, come out to play,
The sun is shining, let's go out and play.
We'll run and jump, and have some fun,
Until we realize that the day is done.

We'll play with dolls, and play with trains,
And make sure that our laughter never wanes.
We'll have a tea party, and a ball,
We'll have a great time, one and all.

So come on girls and boys, let's go,
The world is waiting, let's make it glow.
With laughter and joy, and lots of cheer,
We'll make this day one to hold dear.","""Girls and Boys, Come Out to Play.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/xwu3KPdumqFJjW50-cOupg/qf7sqxb4x4tXQL6VSNtN1INMWbI3sHuknucoCroALWBh9jBvvvNb9fjBG43hf27VrUl7j3uIFwmF8GbSjs1Nhjp8enDvIxlHJGOhYaNGOKG2dTTOURxe_lCd3DeSwjL6/hNEByYayn97RVtN5EwsqcW0g48MVO3rbXCNagwlVbmQ)""",77
Teapot,K,Rhyme,"A teapot, short and round,
Sits on the stove, it's safe and sound.
We fill it up with water hot,
To make our tea, that's what it's got.

We add some tea leaves, and wait a bit,
And soon we have a cup of it.
We hold the handle, and pour with care,
Our tea is ready, let's sit and share.",Teapot.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/q39GdD9Ja72yly9WVau-rg/IO3euaa_FZHRC6jtFwoOnX-TXSBug1KlD_swg6EcqCo92sVM9FfkX8HIVmgTsq3v41aPf3fhCIplJXtDziYiOJCoP4ArACvLIvsf9oZIbko/bsTbIJVHbKGOquQfy9IOmeT_wFnpkyuKRqocBVaCaEE),78
Importance of Being Responsible ,K,Short Story,"Once upon a time, in a small village, a young girl named Sophia lived. Sophia was a curious and adventurous young girl who enjoyed nothing more than exploring the nearby forests and rivers.
However, as she was not very responsible, Sophia frequently found herself in trouble. She'd either forget to do her chores or go exploring without telling anyone where she was going. Her parents and teachers were always chastising her for her lack of accountability.
While exploring the forest one day, Sophia came across a beautiful, sparkling river. As she approached the water, she noticed a small boat landed on the shore. Sophia untied the boat and tried to board without thinking. She began to feel a sense of freedom and excitement as she paddled down the river.
But as she made her way further down the river Sophia realized she had made a huge mistake. The boat was becoming increasingly difficult to control, and she was becoming worried. She hadn't told anyone about her plans, and she hadn't brought any goods.
The boat suddenly hit a rock and collapsed, throwing Sophia into the cold, fast-flowing river. Sophia realized the value of responsibility while struggling to stay afloat. She should have informed someone of her plans and brought supplies in case something went wrong.
Sophia vowed to be more responsible in the future after being saved by a group of villagers who had been looking for her. She discovered that being responsible not only made life easier for her, but also kept her safe.
Sophia became much more responsible after that. She always completed her chores and always informed someone of her whereabouts. As a result of her newfound sense of responsibility, she had many more adventures, but they were all much safer and more enjoyable.",Importance of Being Responsible .png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/EMVt4iF13yUySRfrwZ9YRg/9i7GXlr5Rc5AM56EJ0X4jt6GtcppZX4D-XxuY4ZvyHJ0BUuRbDcAqiAQlDL-OSEyWwnuu3b7wu5k85KcU6cB-2zdpLOmhFskh8JO-fx3IznJN7zaK6SaQkhBOh9LF-w4/J35YBUrTgzX6msOufBjubNxWMKDCTt9_GEO27sQq1W8),79
Treat All Equally ,K,Short Story,"Thomas was a little boy who lived in a small village once upon a time. Thomas was an inquisitive and kind-hearted child who enjoyed making new friends. He met a new friend named Alison one day while playing in the park. Alison was a poor boy who lived on the outskirts of the village in a small hut.
Thomas and Alison became best friends and would frequently play in the park together. Thomas's parents were extremely wealthy and lived in a large mansion on the other side of town. They had all of the world's luxuries, whereas Alison had very little.
Thomas noticed how poor his friend was one day while visiting Alison's hut. He noticed Alison didn't have many toys or clothes, and his home was small and simple. Thomas was moved by his friend's sadness and decided to give him some of his own toys to play with.
Alison was overjoyed and grateful for the presents, and the two friends continued to play and laugh together. As they played, Thomas realized that, despite his poverty, Alison was just as happy and playful as he was. He also realized that money had no bearing on friendship and that everyone, regardless of wealth, was equal.
Thomas learned that day not to differentiate between rich and poor people and to treat everyone with kindness and respect.",Treat All Equally  .png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/5uqS6tXkVWj2nZ_SFHTL_A/U6zdBCtLUf938k-mzz6vhj0ldt1fmXWudN03xdWbg8TKNQe1eS0EpZ6xKZqvfaiXkzMMOo6zAqloU0Lo18ouOB1M644Nt2wAZJhQVD6zbMs/31jX2bIM1V209Db_lgdjyTDlU7sxj7fyvzSsrf2jYgA),80
Patty Cake ,K,Rhyme ,"Patty cake, patty cake, baker's man
Bake me a cake as fast as you can.
Roll it and pat it, and mark it with a B
And put it in the oven for baby and me.

Patty cake, patty cake, baker's man
That was the cake that baby and I began.
With a finger and thumb, and a pat pat pat
The baby loved the cake and that's just that!",Patty Cake  .png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/D6udznhwa8qro3v4uV_7Jw/XhuUgk5QDDqu2Z4hc7VQu0nMnic3z_yHY91Y_DhFiK90CufJdEKJ8tnEXLH4vqb36NkENlfmr_gJvn_kItVrawE3n1ies8F--kefSJnhmAk/zL63mMBn18gkb-oiZE6lIMWbWVugfKdkUC5u4w-kodQ),81
